"date","port.ret"
Jan 2015,0.0116202003518802
Feb 2015,0.0707363806079415
Mar 2015,0.00593743597432517
Apr 2015,-0.0268676199606196
May 2015,0.061161885593306
Jun 2015,-0.00029229237402173
Jul 2015,0.0533827670682117
Aug 2015,-0.0494584009461904
Sep 2015,-0.00763357536775122
Oct 2015,0.0625560419236388
Nov 2015,-0.0111627587382268
Dec 2015,0.0135756561989206
Jan 2016,-0.0303284683014602
Feb 2016,0.00505951853298936
Mar 2016,0.0721116620966074
Apr 2016,0.0160211581282537
May 2016,0.0192395201432529
Jun 2016,0.0032602255381915
Jul 2016,0.0311749043993408
Aug 2016,-0.00977479535366621
Sep 2016,0.0282810938080096
Oct 2016,0.00390388762551286
Nov 2016,0.0371780058609879
Dec 2016,0.010091019141137
